filename;n_nodes;n_links;cnet;cnet_normalized
BCP_HSG_9-1_m_021_kor_R.xlsx;12;38;8,07692307692308;48,4615384615385
BCP_HSG_9-1_m_022_kor_R.xlsx;4;8;4,14746543778802;12,4423963133641
BCP_HSG_9-3_m_039_kor_R.xlsx;7;14;3,87096774193548;11,6129032258065
BCP_HSG_9-4_m_115_kor_R.xlsx;6;18;6,66666666666667;33,3333333333333
BCP_HSG_9-5_99_050_kor_R.xlsx;3;4;2,57142857142857;5,14285714285714
BCP_HSG_9-5_w_058_kor_R.xlsx;7;22;8,4;50,4
BCP_HSG_9-5_w_073_kor_R.xlsx;6;18;7,01323576357341;35,0661788178671
BCP_HSG_9-6_m_096_kor_R.xlsx;6;14;7,63429403051015;38,1714701525507
BCP_HSG_9-6_w_077_kor_R.xlsx;10;20;9,35222672064777;56,1133603238866
BCP_HSG_9-6_w_103_kor_R.xlsx;11;48;15,5491331794181;155,491331794181
